atom_id,order_no,service_code,service_name,service_sequence,scene_overview_code,scene_overview_name,sop,vas_des,atom_status
526299,VASC000000268248,OSF8V1601,出库其他服务需求,1,20250408001,【出库】重新打托（塑料托盘）,1、需要使用塑料托盘进行打托，规格：1mx1.2mx1.8m,NULL,RT
526305,VASC000000268257,OSF8V1601,出库其他服务需求,1,20250408001,【出库】重新打托（塑料托盘）,1、此单需要使用塑料托盘进行打托，规格：1mx1.2mx1.8m,NULL,RT
526428,VASC000000268341,OSF6V1603,库内其他服务需求,1,20250529001,【入库】上架前采集条码（含SN码、A+包第三方包裹码等）,仓库操作步骤：,,
526542,VASC000000268386,OSF8V1657,代理清关,1,【Outbound】Customs clearance agent,【出库】代理清关,打印附件的清关文件，交付尾程供应商，完成出库,NULL,CO
526713,VASC000000268452,OSF6V1603,库内其他服务需求,1,20250407043,【库内】商品外观辨识+贴标上架,问题1背景；入库单WI49060535 预报的包裹B0400000001395877651中商品M010000000009400525的SKU是：199874796383 ，而实际到货的商品码是M010000000009950617SKU是：199284085947-6pcs-pack=M010000000009950617 商品错装，一共1000件，错装件数为894；,,
526833,VASC000000268542,OSF6V1603,库内其他服务需求,1,20250401002,【库内】关联第三方条码上架,仓库操作步骤：,,
526866,VASC000000268557,OSF8V1620,Winit线下尾程服务,1,202512301,【尾程】winit线下尾程询价,"""1、仓库/尾程SD报价；",,
527028,VASC000000268647,OW01V1602,入库其他服务需求,1,2026041701,【入库】补贴透明计划标签,【背景】M010000000010002679，需贴整柜1567个透明计划标签，预计4.25到仓。,,
527043,VASC000000268686,OSF6V1603,库内其他服务需求,1,202506120002,【入库】上架前盘点,背景：,,
527061,VASC000000268689,OSF8V1620,Winit线下尾程服务,1,202512301,【尾程】winit线下尾程询价,"""1、仓库/尾程SD报价；",,
527076,VASC000000268701,OSF8V1620,Winit线下尾程服务,1,202512301,【尾程】winit线下尾程询价,"""1、仓库/尾程SD报价；",,
527322,VASC000000268737,OW01V1602,入库其他服务需求,1,INBOUND_DESTORY_BF_SHELVE,【入库】上架前销毁,VASC000000268737，EB0126041628854468，为亚马逊那边移除过来的货需入库上架，,,
527304,VASC000000268764,OSF6V1647,货权转移（改数模式）,1,【In-warehouse】Transfer of ownership of goods,【库内】货权转移,操作说明：,,
527601,VASC000000268935,OSF6V1603,库内其他服务需求,1,20250407062,【库内】指定单品/库位商品更换标签上架,仓库操作步骤：,,
527769,VASC000000269028,OW01V1602,入库其他服务需求,1,20250407003,【入库】上架前拆包装,【背景】客户的包裹到仓做了包中包，外箱没有包裹条码，里面的产品每个SKU 都用袋子单独装起来了并在外面贴了包裹条码属于A包。,,
527856,VASC000000269103,OSF8V1620,Winit线下尾程服务,1,202512301,【尾程】winit线下尾程询价,"""1、仓库/尾程SD报价；",,
527907,VASC000000269139,OW01V1602,入库其他服务需求,1,20250929,【入库】海运整柜100%A+无包裹条码异常，新单无箱单或100%A+包直接上架,【背景】VASC000000268548[海运整柜100%A+/A包裹]有计划外商品，现已下新的入库单，需仓库直接扫描上架，,,
527910,VASC000000269142,OW01V1602,入库其他服务需求,1,20250929,【入库】海运整柜100%A+无包裹条码异常，新单无箱单或100%A+包直接上架,【背景】VASC000000268551[海运整柜100%A+/A包裹]有计划外商品，现已下新的入库单，需仓库直接扫描上架，,,
527913,VASC000000269151,OW01V1602,入库其他服务需求,1,20250929,【入库】海运整柜100%A+无包裹条码异常，新单无箱单或100%A+包直接上架,【背景】VASC000000268554[海运整柜100%A+/A包裹]有计划外商品，现已下新的入库单，需仓库直接扫描上架，,,
527916,VASC000000269157,OW01V1602,入库其他服务需求,1,20250929,【入库】海运整柜100%A+无包裹条码异常，新单无箱单或100%A+包直接上架,【背景】VASC000000268908[海运整柜100%A+/A包裹]有计划外商品，现已下新的入库单，需仓库直接扫描上架，,,
528294,VASC000000269307,OSF6V1603,库内其他服务需求,1,20250530002,清除标签,仓库操作步骤：,,
528330,VASC000000269325,OSF8V1601,出库其他服务需求,1,NULL,NULL,,NULL,CD
528357,VASC000000269337,OSF6V1647,货权转移（改数模式）,1,【In-warehouse】Transfer of ownership of goods,【库内】货权转移,货权转移增值，仓库为需要实际操作，只需要将增值单更新为“仓库已处理”，以便国内收费。,NULL,CO
528423,VASC000000269370,OW01V1602,入库其他服务需求,1,20260302,【入库】覆盖/清除标签,【背景】M010000000009211607	需要清除UN标。,,
528480,VASC000000269400,OSF6V1671,逆向取货,1,20250723,【尾程】Anker Crowfoots出库,仅收费，无需仓库操作,NULL,CO
528519,VASC000000269424,OSF8V1749,审核出库单,1,NULL,NULL,仅万邑通内部发起,NULL,CO
528522,VASC000000269430,OSF8V1749,审核出库单,1,NULL,NULL,仅万邑通内部发起,NULL,CO
528543,VASC000000269454,OSF6V1647,货权转移（改数模式）,1,【In-warehouse】Transfer of ownership of goods,【库内】货权转移,货权转移增值，仓库为需要实际操作，只需要将增值单更新为“仓库已处理”，以便国内收费。,,
528609,VASC000000269472,OW01V1602,入库其他服务需求,1,2026041701,【入库】补贴透明计划标签,【背景】M010000000008935025，需要在入库时贴透明计划标签,,
528576,VASC000000269481,OSF8V1620,Winit线下尾程服务,1,NULL,NULL,"""1、仓库/尾程SD报价；",,
528600,VASC000000269484,OSF8V1755,出库核对EAN码,1,NULL,NULL,步骤1：拆开商品外箱 步骤2：核对外箱及彩盒上的条码 步骤3：若条码不一致，则需要用客户上传的标签文件覆盖EAN条码 步骤4：外箱和彩盒上不能出现除正确EAN条码以外的其他条码，若有其他条码请用白标覆盖,NULL,CD
528954,VASC000000269520,OW01V1602,入库其他服务需求,1,2026041701,【入库】补贴透明计划标签,【背景】M010000000008935025，需贴整柜1222个透明计划标签。,,
528684,VASC000000269523,OSF8V1657,代理清关,1,【Outbound】Customs clearance agent,【出库】代理清关,打印附件的清关文件，交付尾程供应商，完成出库,NULL,CO
528705,VASC000000269526,OSF8V1657,代理清关,1,【Outbound】Customs clearance agent,【出库】代理清关,打印附件的清关文件，交付尾程供应商，完成出库,NULL,CO
528708,VASC000000269529,OSF8V1657,代理清关,1,【Outbound】Customs clearance agent,【出库】代理清关,打印附件的清关文件，交付尾程供应商，完成出库,NULL,CO
528720,VASC000000269532,OSF8V1657,代理清关,1,【Outbound】Customs clearance agent,【出库】代理清关,打印附件的清关文件，交付尾程供应商，完成出库,NULL,CO
528732,VASC000000269535,OSF8V1657,代理清关,1,【Outbound】Customs clearance agent,【出库】代理清关,打印附件的清关文件，交付尾程供应商，完成出库,NULL,CO
528735,VASC000000269538,OSF8V1657,代理清关,1,【Outbound】Customs clearance agent,【出库】代理清关,打印附件的清关文件，交付尾程供应商，完成出库,NULL,CO
528747,VASC000000269541,OSF8V1657,代理清关,1,【Outbound】Customs clearance agent,【出库】代理清关,打印附件的清关文件，交付尾程供应商，完成出库,NULL,CO
528750,VASC000000269544,OSF8V1657,代理清关,1,NULL,NULL,打印附件的清关文件，交付尾程供应商，完成出库,NULL,CD
528753,VASC000000269547,OSF8V1657,代理清关,1,【Outbound】Customs clearance agent,【出库】代理清关,打印附件的清关文件，交付尾程供应商，完成出库,NULL,CO
528759,VASC000000269550,OSF8V1657,代理清关,1,【Outbound】Customs clearance agent,【出库】代理清关,打印附件的清关文件，交付尾程供应商，完成出库,NULL,CO
528762,VASC000000269553,OSF8V1657,代理清关,1,【Outbound】Customs clearance agent,【出库】代理清关,打印附件的清关文件，交付尾程供应商，完成出库,NULL,CO
528771,VASC000000269556,OSF8V1657,代理清关,1,【Outbound】Customs clearance agent,【出库】代理清关,打印附件的清关文件，交付尾程供应商，完成出库,NULL,CO
528774,VASC000000269559,OSF8V1657,代理清关,1,【Outbound】Customs clearance agent,【出库】代理清关,打印附件的清关文件，交付尾程供应商，完成出库,NULL,CO
528798,VASC000000269568,OSF8V1657,代理清关,1,【Outbound】Customs clearance agent,【出库】代理清关,打印附件的清关文件，交付尾程供应商，完成出库,NULL,CO
528897,VASC000000269589,OW01V1599,提供海外仓监控视频-少包裹调查,1,NULL,NULL,根据到仓订单具体情况提供对应视频：,,
528903,VASC000000269610,OSF8V1755,出库核对EAN码,1,NULL,NULL,步骤1：拆开商品外箱 步骤2：核对外箱及彩盒上的条码 步骤3：若条码不一致，则需要用客户上传的标签文件覆盖EAN条码 步骤4：外箱和彩盒上不能出现除正确EAN条码以外的其他条码，若有其他条码请用白标覆盖,NULL,CO
528939,VASC000000269634,OSF8V1620,Winit线下尾程服务,1,202512301,【尾程】winit线下尾程询价,"""1、仓库/尾程SD报价；",,
528999,VASC000000269637,OW01V1602,入库其他服务需求,1,NULL,NULL,,NULL,CD
529089,VASC000000269643,OW01V1602,入库其他服务需求,1,2026041701,【入库】补贴透明计划标签,【背景】M010000000010002679，需贴整柜1567个透明计划标签。,,
528972,VASC000000269646,OSF8V1620,Winit线下尾程服务,1,202512301,【尾程】winit线下尾程询价,"""1、仓库/尾程SD报价；",,
529044,VASC000000269673,OSF6V1647,货权转移（改数模式）,1,【In-warehouse】Transfer of ownership of goods,【库内】货权转移,货权转移增值，仓库为需要实际操作，只需要将增值单更新为“仓库已处理”，以便国内收费。,NULL,CD
529113,VASC000000269709,OW01V1602,入库其他服务需求,1,20250529001,【入库】上架前采集条码（含SN码、A+包第三方包裹码等）,【背景】客户发货仓出库无法提供完整的SN码表，需要仓库采集WI49136073入库单中无法识别的SN码，共计257件，采集后导入系统绑定后重新上架。,,
529152,VASC000000269721,OW01V1602,入库其他服务需求,1,NULL,NULL,,NULL,CD
529206,VASC000000269748,OSF8V1601,出库其他服务需求,1,20250414001,【出库】补增值后补订单级标签,操作步骤：,,
529218,VASC000000269757,OW01V1602,入库其他服务需求,1,2026042101,【入库】100%A+/A包裹包裹条码批量异常（需客户处理）,【背景】WI48302976 原单下错商品，实物商品条码是M010000000008832245，重下新单按照实际贴的标签M010000000008832245，1020件，进行新单上架，无需更换包裹及商品标签。,,
529353,VASC000000269763,OW01V1599,提供海外仓监控视频-少包裹调查,1,NULL,NULL,根据到仓订单具体情况提供对应视频：,,
529236,VASC000000269769,OSF8V1755,出库核对EAN码,1,NULL,NULL,步骤1：拆开商品外箱 步骤2：核对外箱及彩盒上的条码 步骤3：若条码不一致，则需要用客户上传的标签文件覆盖EAN条码 步骤4：外箱和彩盒上不能出现除正确EAN条码以外的其他条码，若有其他条码请用白标覆盖,NULL,CO
529248,VASC000000269775,OSF8V1716,Anker加急出库,1,NULL,NULL,仓库根据订单情况判断能否在【指定出库日期】之前完成增值，若无法操作加急，请“异常终止”增值订单，若可以操作，请填写加急实际操作工时并“完成”增值 注意（非常重要！！！）： 1. 加急增值完成标准： *标准出库：加急订单出库日期应早于应出库日期，若不符合此条件，请“异常终止”增值订单 *自提出库：加急订单暂存日期应早于应暂存日期，若不符合此条件，请“异常终止”增值订单 2. 仓库实际操作工时，请提前记录并如实填写，最终会根据此工时收取客户费用 3. 需要在出库前完成此增值，否则增值将会被自动“异常终止”,NULL,CO
529296,VASC000000269796,OSF8V1620,Winit线下尾程服务,1,NULL,NULL,"""1、仓库/尾程SD报价；",,
529341,VASC000000269817,OSF8V1755,出库核对EAN码,1,NULL,NULL,步骤1：拆开商品外箱 步骤2：核对外箱及彩盒上的条码 步骤3：若条码不一致，则需要用客户上传的标签文件覆盖EAN条码 步骤4：外箱和彩盒上不能出现除正确EAN条码以外的其他条码，若有其他条码请用白标覆盖,NULL,CO
529344,VASC000000269817,OSF8V1716,Anker加急出库,1,NULL,NULL,仓库根据订单情况判断能否在【指定出库日期】之前完成增值，若无法操作加急，请“异常终止”增值订单，若可以操作，请填写加急实际操作工时并“完成”增值 注意（非常重要！！！）： 1. 加急增值完成标准： *标准出库：加急订单出库日期应早于应出库日期，若不符合此条件，请“异常终止”增值订单 *自提出库：加急订单暂存日期应早于应暂存日期，若不符合此条件，请“异常终止”增值订单 2. 仓库实际操作工时，请提前记录并如实填写，最终会根据此工时收取客户费用 3. 需要在出库前完成此增值，否则增值将会被自动“异常终止”,NULL,CO
529398,VASC000000269844,OW01V1602,入库其他服务需求,1,202506120002,【入库】上架前盘点,【背景】WI48847535，M010000000008044884，12件；M010000000006833278，8件；M010000000006787864，59件；为翻新仓来货，可能存在少货、贴标错误等异常。,,
529452,VASC000000269880,OSF8V1755,出库核对EAN码,1,NULL,NULL,步骤1：拆开商品外箱 步骤2：核对外箱及彩盒上的条码 步骤3：若条码不一致，则需要用客户上传的标签文件覆盖EAN条码 步骤4：外箱和彩盒上不能出现除正确EAN条码以外的其他条码，若有其他条码请用白标覆盖,NULL,CO
529542,VASC000000269886,OSF6V1651,库内商品拍摄视频,1,NULL,NULL,,NULL,CO
529461,VASC000000269892,OSF8V1755,出库核对EAN码,1,NULL,NULL,步骤1：拆开商品外箱 步骤2：核对外箱及彩盒上的条码 步骤3：若条码不一致，则需要用客户上传的标签文件覆盖EAN条码 步骤4：外箱和彩盒上不能出现除正确EAN条码以外的其他条码，若有其他条码请用白标覆盖,NULL,CO
529470,VASC000000269895,OSF6V1752,无主货找回（6个自然日内）-仓库创建无RMA退货单,1,NULL,NULL,步骤1：按照客户提供的快递单号或者POD尝试找回无主货 步骤2： ①若货物找回，请仓库创建无RMA退货单上架并反馈退货订单号，然后【完成】增值单 ②若货物未找回，请【完成】增值单  注意：此增值无论商品是否找回，请将增值单更新为【已出库】,NULL,CO
529488,VASC000000269898,OSF8V1620,Winit线下尾程服务,1,NULL,NULL,"""1、仓库/尾程SD报价；",,
529497,VASC000000269907,OSF8V1755,出库核对EAN码,1,NULL,NULL,步骤1：拆开商品外箱 步骤2：核对外箱及彩盒上的条码 步骤3：若条码不一致，则需要用客户上传的标签文件覆盖EAN条码 步骤4：外箱和彩盒上不能出现除正确EAN条码以外的其他条码，若有其他条码请用白标覆盖,NULL,CO
529560,VASC000000269949,OW01V1602,入库其他服务需求,1,2026042101,【入库】100%A+/A包裹包裹条码批量异常（需客户处理）,【背景】100%A+包裹散货入仓，需扫描商品码上架。,,
529569,VASC000000269952,OW01V1602,入库其他服务需求,1,2026042101,【入库】100%A+/A包裹包裹条码批量异常（需客户处理）,【背景】100%A+包裹散货入仓，需扫描商品码上架。,,
529578,VASC000000269955,OW01V1602,入库其他服务需求,1,2026042101,【入库】100%A+/A包裹包裹条码批量异常（需客户处理）,【背景】100%A+包裹散货入仓，需扫描商品码上架。,,
529587,VASC000000269961,OW01V1602,入库其他服务需求,1,2026042101,【入库】100%A+/A包裹包裹条码批量异常（需客户处理）,【背景】100%A+包裹散货入仓，需扫描商品码上架。,,
529596,VASC000000269964,OW01V1602,入库其他服务需求,1,2026042101,【入库】100%A+/A包裹包裹条码批量异常（需客户处理）,【背景】100%A+包裹散货入仓，需扫描商品码上架。,,
529605,VASC000000269967,OW01V1602,入库其他服务需求,1,2026042101,【入库】100%A+/A包裹包裹条码批量异常（需客户处理）,【背景】100%A+包裹散货入仓，需扫描商品码上架。,,
529614,VASC000000269970,OW01V1602,入库其他服务需求,1,2026042101,【入库】100%A+/A包裹包裹条码批量异常（需客户处理）,【背景】100%A+包裹散货入仓，需扫描商品码上架。,,
529623,VASC000000269973,OW01V1602,入库其他服务需求,1,2026042101,【入库】100%A+/A包裹包裹条码批量异常（需客户处理）,【背景】100%A+包裹散货入仓，需扫描商品码上架。,,
530307,VASC000000270000,OW01V1602,入库其他服务需求,1,20250522001,【入库】指定商品拍照暂存,【背景】EB0126032028217574中43件a+包裹都是退货，历史拍照过一次，由于当时提供的拍照需求没有要求带数字标识，导致客户对仓库回复的图片无法辨识定位，客户没办法指定包裹进行（销毁/上架）处理，故需仓库重新拍照。,,
529851,VASC000000270075,OW01V1602,入库其他服务需求,1,2026042101,【入库】100%A+/A包裹包裹条码批量异常（需客户处理）,【背景】100%A+包裹散货入仓，需扫描商品码上架。,,
529845,VASC000000270084,OSF8V1601,出库其他服务需求,1,20250407013,【出库】指定位置贴商品/包裹标签/快递面单,1、共有20箱是A+包，需开箱在彩盒上补贴商品标签,NULL,CD
529848,VASC000000270087,OSF8V1601,出库其他服务需求,1,20250516,【出库】补贴/更换商品标签,操作步骤：,,
529869,VASC000000270090,OSF6V1603,库内其他服务需求,1,20250512001,【库内】商品更换包装（WINIT标准包材）,仓库操作步骤：,,
529974,VASC000000270129,OSF6V1603,库内其他服务需求,1,20250407035,【库内】拍摄照片/视频,背景：TIktok店铺，海外仓视频审核，证明客户的产品的确有入库，仓库及货架上的确有产品。,,
529887,VASC000000270132,OSF6V1603,库内其他服务需求,1,20250407044,仓库已完成 需补收费用,背景：对应这个审计盘点增值：VASC000000265716 是仓库加班处理，一共耗费58个加班工时；,,
529962,VASC000000270150,OW01V1602,入库其他服务需求,1,20251208,【入库】包裹级异常更换包装,【背景】M010000000010061706，1件入库破损，需要用客制包材重新包装上架,,
529989,VASC000000270153,OW01V1599,提供海外仓监控视频-少包裹调查,1,NULL,NULL,根据到仓订单具体情况提供对应视频：,,
530031,VASC000000270177,OW01V1602,入库其他服务需求,1,20250929,【入库】海运整柜100%A+无包裹条码异常，新单无箱单或100%A+包直接上架,【背景】[海运整柜100%A+/A包裹]，需扫描商品码上架。,,
530073,VASC000000270183,OW01V1602,入库其他服务需求,1,2026041701,【入库】补贴透明计划标签,【背景】M010000000010002679，需贴整柜1567个透明计划标签。预计5月14号到港。,,
530052,VASC000000270201,OSF6V1603,库内其他服务需求,1,202512150002,【库内】异常商品转不良品上架,背景：原辨识增值：VASC000000259587  辨识了一共92件，其中88件为良品。4件为不良品，现要针对辨识结果重新做上架；,,
530103,VASC000000270228,OSF6V1603,库内其他服务需求,1,202512150002,【库内】异常商品转不良品上架,仓库操作步骤：,,
530127,VASC000000270231,OSF8V1601,出库其他服务需求,1,NULL,NULL,,NULL,CD
530133,VASC000000270237,OSF8V1601,出库其他服务需求,1,20250421002,【出库】仓库自主交货,操作步骤：,,
530178,VASC000000270279,OSF8V1601,出库其他服务需求,1,【In-warehouse】Transfer of ownership of goods,【库内】货权转移,货权转移操作流程,,
530202,VASC000000270288,OSF6V1646,货权转移（换标模式）,1,【In-warehouse】Transfer of ownership of goods,【库内】货权转移,货权转移操作流程,,
530205,VASC000000270294,OSF8V1749,审核出库单,1,NULL,NULL,仅万邑通内部发起,NULL,CO
530373,VASC000000270330,OSF6V1603,库内其他服务需求,1,20250530002,清除标签,仓库操作步骤：,,
530241,VASC000000270333,OSF8V1749,审核出库单,1,NULL,NULL,仅万邑通内部发起,NULL,CO
542043,VASC000000270339,OSF6V1603,库内其他服务需求,1,20250407062,【库内】指定单品/库位商品更换标签上架,仓库操作步骤：,,
530280,VASC000000270351,OSF6V1660,审计盘点,1,NULL,NULL,,NULL,CD
530262,VASC000000270354,OSF8V1755,出库核对EAN码,1,NULL,NULL,步骤1：拆开商品外箱 步骤2：核对外箱及彩盒上的条码 步骤3：若条码不一致，则需要用客户上传的标签文件覆盖EAN条码 步骤4：外箱和彩盒上不能出现除正确EAN条码以外的其他条码，若有其他条码请用白标覆盖,NULL,CO
530271,VASC000000270360,OSF8V1716,Anker加急出库,1,NULL,NULL,仓库根据订单情况判断能否在【指定出库日期】之前完成增值，若无法操作加急，请“异常终止”增值订单，若可以操作，请填写加急实际操作工时并“完成”增值 注意（非常重要！！！）： 1. 加急增值完成标准： *标准出库：加急订单出库日期应早于应出库日期，若不符合此条件，请“异常终止”增值订单 *自提出库：加急订单暂存日期应早于应暂存日期，若不符合此条件，请“异常终止”增值订单 2. 仓库实际操作工时，请提前记录并如实填写，最终会根据此工时收取客户费用 3. 需要在出库前完成此增值，否则增值将会被自动“异常终止”,NULL,CO
530289,VASC000000270363,OSF6V1660,审计盘点,1,NULL,NULL,,NULL,CD
530313,VASC000000270372,OW01V1622,入库-提供无箱单预报单上架,1,NULL,NULL,"""场景1：新入库单是无箱单，通过包裹推荐>商品预分拣上架",,
530331,VASC000000270393,OW01V1602,入库其他服务需求,1,20250522001,【入库】指定商品拍照暂存,【背景】原增值单号：VASC000000255333，入库单WI48849003中5个托（68件）的包裹，历史拍照过一次，由于当时提供的拍照需求没有要求带数字标识，导致客户对仓库回复的图片无法辨识定位，客户没办法指定包裹进行（销毁/上架）处理，故需仓库重新拍照。,,
530424,VASC000000270426,OSF6V1677,退货商品补拍细节照,1,NULL,NULL,针对退货入库商品，按照客户示例图要求开箱补拍商品细节照片（含外箱标签照、内部商品细节图、内部商品标签照等）,NULL,CO
530430,VASC000000270435,OSF8V1755,出库核对EAN码,1,NULL,NULL,步骤1：拆开商品外箱 步骤2：核对外箱及彩盒上的条码 步骤3：若条码不一致，则需要用客户上传的标签文件覆盖EAN条码 步骤4：外箱和彩盒上不能出现除正确EAN条码以外的其他条码，若有其他条码请用白标覆盖,NULL,CO
530448,VASC000000270444,OW01V1599,提供海外仓监控视频-少包裹调查,1,NULL,NULL,根据到仓订单具体情况提供对应视频：,,
530457,VASC000000270450,OSF8V1657,代理清关,1,【Outbound】Customs clearance agent,【出库】代理清关,打印附件的清关文件，交付尾程供应商，完成出库,NULL,CO
530604,VASC000000270480,OSF8V1620,Winit线下尾程服务,1,202512301,【尾程】winit线下尾程询价,"""1、仓库/尾程SD报价；",,
530601,VASC000000270483,OSF6V1752,无主货找回（6个自然日内）-仓库创建无RMA退货单,1,NULL,NULL,步骤1：按照客户提供的快递单号或者POD尝试找回无主货 步骤2： ①若货物找回，请仓库创建无RMA退货单上架并反馈退货订单号，然后【完成】增值单 ②若货物未找回，请【完成】增值单  注意：此增值无论商品是否找回，请将增值单更新为【已出库】,NULL,CO
530592,VASC000000270486,OSF8V1755,出库核对EAN码,1,NULL,NULL,步骤1：拆开商品外箱 步骤2：核对外箱及彩盒上的条码 步骤3：若条码不一致，则需要用客户上传的标签文件覆盖EAN条码 步骤4：外箱和彩盒上不能出现除正确EAN条码以外的其他条码，若有其他条码请用白标覆盖,NULL,CO
530616,VASC000000270492,OSF8V1755,出库核对EAN码,1,NULL,NULL,步骤1：拆开商品外箱 步骤2：核对外箱及彩盒上的条码 步骤3：若条码不一致，则需要用客户上传的标签文件覆盖EAN条码 步骤4：外箱和彩盒上不能出现除正确EAN条码以外的其他条码，若有其他条码请用白标覆盖,NULL,CO
530637,VASC000000270513,OSF8V1716,Anker加急出库,1,NULL,NULL,仓库根据订单情况判断能否在【指定出库日期】之前完成增值，若无法操作加急，请“异常终止”增值订单，若可以操作，请填写加急实际操作工时并“完成”增值 注意（非常重要！！！）： 1. 加急增值完成标准： *标准出库：加急订单出库日期应早于应出库日期，若不符合此条件，请“异常终止”增值订单 *自提出库：加急订单暂存日期应早于应暂存日期，若不符合此条件，请“异常终止”增值订单 2. 仓库实际操作工时，请提前记录并如实填写，最终会根据此工时收取客户费用 3. 需要在出库前完成此增值，否则增值将会被自动“异常终止”,NULL,CO
530661,VASC000000270519,OSF8V1620,Winit线下尾程服务,1,202512301,【尾程】winit线下尾程询价,"""1、仓库/尾程SD报价；",,
530667,VASC000000270522,OSF8V1755,出库核对EAN码,1,NULL,NULL,步骤1：拆开商品外箱 步骤2：核对外箱及彩盒上的条码 步骤3：若条码不一致，则需要用客户上传的标签文件覆盖EAN条码 步骤4：外箱和彩盒上不能出现除正确EAN条码以外的其他条码，若有其他条码请用白标覆盖,NULL,CO
530679,VASC000000270525,OSF8V1620,Winit线下尾程服务,1,202512301,【尾程】winit线下尾程询价,"""1、仓库/尾程SD报价；",,
530766,VASC000000270552,OSF6V1651,库内商品拍摄视频,1,NULL,NULL,,NULL,CO
530784,VASC000000270564,OSF8V1755,出库核对EAN码,1,NULL,NULL,步骤1：拆开商品外箱 步骤2：核对外箱及彩盒上的条码 步骤3：若条码不一致，则需要用客户上传的标签文件覆盖EAN条码 步骤4：外箱和彩盒上不能出现除正确EAN条码以外的其他条码，若有其他条码请用白标覆盖,NULL,CO
530790,VASC000000270567,OSF8V1755,出库核对EAN码,1,NULL,NULL,步骤1：拆开商品外箱 步骤2：核对外箱及彩盒上的条码 步骤3：若条码不一致，则需要用客户上传的标签文件覆盖EAN条码 步骤4：外箱和彩盒上不能出现除正确EAN条码以外的其他条码，若有其他条码请用白标覆盖,NULL,CO
530796,VASC000000270570,OSF8V1755,出库核对EAN码,1,NULL,NULL,步骤1：拆开商品外箱 步骤2：核对外箱及彩盒上的条码 步骤3：若条码不一致，则需要用客户上传的标签文件覆盖EAN条码 步骤4：外箱和彩盒上不能出现除正确EAN条码以外的其他条码，若有其他条码请用白标覆盖,NULL,CO
530799,VASC000000270573,OSF8V1749,审核出库单,1,NULL,NULL,仅万邑通内部发起,NULL,CO
530832,VASC000000270576,OSF8V1620,Winit线下尾程服务,1,202512301,【尾程】winit线下尾程询价,"""1、仓库/尾程SD报价；",,
530850,VASC000000270588,OSF8V1755,出库核对EAN码,1,NULL,NULL,步骤1：拆开商品外箱 步骤2：核对外箱及彩盒上的条码 步骤3：若条码不一致，则需要用客户上传的标签文件覆盖EAN条码 步骤4：外箱和彩盒上不能出现除正确EAN条码以外的其他条码，若有其他条码请用白标覆盖,NULL,CO
