vascCode,vascName,sequence,atomCode,atomName,attrSpecStatus,requiredInVasc,mutexGroupCn
VASC202407161056217,新单上架（客户创建入库单）,1,OW01V1561,入库-更换商品包装,covered_by_vas_event_attrs_slim,N,入库-更换商品包装
VASC202407161056217,新单上架（客户创建入库单）,2,OW01V1560,入库-补贴包裹条码,covered_by_vas_event_attrs_slim,N,入库-补贴包裹条码
VASC202407161056217,新单上架（客户创建入库单）,3,OW01V1558,入库-补贴原商品条码,covered_by_vas_event_attrs_slim,N,
VASC202407161056217,新单上架（客户创建入库单）,4,OW01V1559,入库-更换新商品条码,covered_by_vas_event_attrs_slim,N,
VASC202409121753076,上架前销毁,1,OW01V1703,上架前包裹销毁,missing,N,上架前销毁
VASC202409121753076,上架前销毁,2,OW01V1563,上架前商品销毁,missing,N,上架前销毁
VASC202411192229072,库内非标增值（免审核）,1,OSF6V1643,库内-清除商品标签,covered_by_vas_event_attrs_slim,N,标签类
VASC202411192229072,库内非标增值（免审核）,2,OSF6V1596,单品拆分后上架（拆分为一个SKU）,covered_by_vas_event_attrs_slim,N,商品组合/拆分
VASC202411192229072,库内非标增值（免审核）,3,OSF6V1595,单品指定位置开箱拍照,covered_by_vas_event_attrs_slim,N,商品拍照辨识
VASC202411192229072,库内非标增值（免审核）,4,OSF6V1650,辨识单品配件后更换,covered_by_vas_event_attrs_slim,N,商品拍照辨识
VASC202411192229072,库内非标增值（免审核）,5,OSF6V1649,辨识单品配件后销毁,covered_by_vas_event_attrs_slim,N,商品拍照辨识
VASC202411192229072,库内非标增值（免审核）,6,OSF6V1627,单品辨识（不开箱）,covered_by_vas_event_attrs_slim,N,商品拍照辨识
VASC202411192229072,库内非标增值（免审核）,7,OSF6V1651,库内商品拍摄视频,covered_by_vas_event_attrs_slim,N,商品拍照辨识
VASC202411192229072,库内非标增值（免审核）,8,OSF6V1677,退货商品补拍细节照,covered_by_vas_event_attrs_slim,N,商品拍照辨识
VASC202411192229072,库内非标增值（免审核）,9,OSF6V1639,测量商品内部配件尺重,covered_by_vas_event_attrs_slim,N,商品尺重测量
VASC202411192229072,库内非标增值（免审核）,10,OSF6V1640,柔性打包装箱/装袋测量尺重,covered_by_vas_event_attrs_slim,N,商品尺重测量
VASC202411192229072,库内非标增值（免审核）,11,OSF6V1626,指定商品盘点,missing,N,盘点
VASC202411192240522,上架前自提,1,OW01V1594,上架前自提（无需WINIT打托）,covered_by_vas_event_attrs_slim,N,上架前自提（无需WINIT打托）
VASC202411192240522,上架前自提,2,OW01V1604,上架前自提（需WINIT打托）,covered_by_vas_event_attrs_slim,N,上架前自提-托盘
VASC202411192246131,入库非标增值（特批）,1,OW01V1654,包裹串仓异常调拨,covered_by_vas_event_attrs_slim,N,包裹串仓异常调拨
VASC202411192246131,入库非标增值（特批）,2,OW01V1602,入库其他服务需求,covered_by_vas_event_attrs_slim,N,入库其他服务需求
VASC202411192250069,库内非标增值（特批）,1,OSF6V1648,代采购包材物料,covered_by_vas_event_attrs_slim,N,代采购包材物料
VASC202411192250069,库内非标增值（特批）,2,OSF6V1660,审计盘点,covered_by_vas_event_attrs_slim,N,审计盘点
VASC202411192250069,库内非标增值（特批）,3,OSF6V1644,DG商品销毁,covered_by_vas_event_attrs_slim,N,DG商品销毁
VASC202411192250069,库内非标增值（特批）,4,OSF6V1646,货权转移（换标模式）,covered_by_vas_event_attrs_slim,N,货权转移（换标模式）
VASC202411192250069,库内非标增值（特批）,5,OSF6V1647,货权转移（改数模式）,covered_by_vas_event_attrs_slim,N,货权转移（改数模式）
VASC202411192250069,库内非标增值（特批）,6,OSF6V1603,库内其他服务需求,covered_by_vas_event_attrs_slim,N,库内其他服务需求
VASC202411192253186,出库非标增值（特批）,1,OSF8V1601,出库其他服务需求,covered_by_vas_event_attrs_slim,N,出库其他服务需求
VASC202411271721537,入库非标拍照或提供视频,1,OW01V1610,入库-单品指定位置开箱拍照,covered_by_vas_event_attrs_slim,N,入库-单品指定位置开箱拍照
VASC202411271721537,入库非标拍照或提供视频,2,OW01V1674,入库-异常包裹开箱拍照,covered_by_vas_event_attrs_slim,N,入库-异常包裹开箱拍照
VASC202411271721537,入库非标拍照或提供视频,3,OW01V1599,提供海外仓监控视频-少包裹调查,covered_by_vas_event_attrs_slim,N,提供海外仓监控视频-少包裹调查
VASC202411271721537,入库非标拍照或提供视频,4,OW01V1600,提供海外仓监控视频-少单品调查,covered_by_vas_event_attrs_slim,N,提供海外仓监控视频-少单品调查
VASC202412111831129,新单上架（客户提供预报单）,1,OW01V1622,入库-提供无箱单预报单上架,covered_by_vas_event_attrs_slim,N,入库-提供无箱单预报单上架
VASC202412111836315,库内非标增值（需审核）,1,OSF6V1597,单品拆分后上架（拆分为多个SKU）,covered_by_vas_event_attrs_slim,N,单品拆分后上架（拆分为多个SKU）
VASC202412111836315,库内非标增值（需审核）,2,OSF6V1625,检查商品尺重（退货商品）,covered_by_vas_event_attrs_slim,N,检查商品尺重（退货商品）
VASC202504171850278,库内销毁,1,OSF6V1704,库内-异常商品销毁,missing,N,库内-异常商品销毁
VASC202504251617529,原单上架（直接上架）,1,OW01V1708,直接上架,covered_by_vas_event_attrs_slim,N,直接上架
VASC202504251617529,原单上架（直接上架）,2,OW01V1559,入库-更换新商品条码,covered_by_vas_event_attrs_slim,N,
VASC202504251617529,原单上架（直接上架）,3,OW01V1736,入库-覆盖包裹标签,covered_by_vas_event_attrs_slim,N,
VASC202504251617529,原单上架（直接上架）,4,OW01V1560,入库-补贴包裹条码,covered_by_vas_event_attrs_slim,N,
VASC202505282347101,新单上架（直接上架）,1,OW01V1708,直接上架,covered_by_vas_event_attrs_slim,N,直接上架
