sceneOverviewCode,sceneOverviewName,group
20250716001,【库内】标准盘点,instock
20250721001,【库内】箱产品补贴/更换箱内单品标签,instock
20250721002,【库内】箱产品箱内少单品异常转单一产品上架,instock
20250808001,【库内】退货商品更换退货单重新上架,instock
20250808002,【库内】不良品转良品上架,instock
20250808003,【库内】良品转不良品上架,instock
20250822001,【库内】库存数据海外仓签字盖章,instock
20250822002,【库内】补贴DG标签,instock
20250825001,【库内】瑞拓步圣诞树维修,instock
20251013001,【库内】A+包裹开箱检查单品数量,instock
20251020001,【库内】清除商品属性标签+更换包装,instock
20251024001,【库内】大件货拆托盘存储,instock
20251103001,【库内】客户耗材线下自提出库,instock
20251205002,【库内】SKU指定包材装箱测量,instock
20251212001,【库内】盘亏货物重新入库单上架,instock
202512150001,【库内】清除吊牌,instock
202512150002,【库内】异常商品转不良品上架,instock
20251217001,【库内】盘点多货做新单入库,instock
20251218001,【库内】退货商品拍照辨识,instock
202512190001,【库内】补贴超重标签,instock
20251230001,【库内】补贴第三方商品条码上架,instock
20260108001,【库内】更换商品生产日期标签,instock
20260115001,【库内】客户上门参观,instock
20260115002,【库内】指定SKU个性化装箱,instock
202601160001,【库内】特殊商品销毁（DG、带电、药物）,instock
20260119001,【库内】补贴认证标签,instock
20260127001,【库内】商品指定位置贴标,instock
20260313001,【库内】清理污渍/油渍,instock
20260415001,【库内】客制包材折叠后重新上架,instock
INSTOCK_INVENTORY_FREEZE_UNFREEZE,【库内】库存冻结/解冻,instock
INSTOCK_SELF_PICK_ORDER_CANCEL_OUTBOUND,【库内】订单作废后重新上架,instock
INSTOCK_SPLIT_SKU,【库内】拆分SKU,instock
【In-warehouse】Transfer of ownership of goods,【库内】货权转移,instock
【Library】Abnormal re-photographing,【库内】异常重新拍照,instock
【Warehouse】Measurement and identification of commodity weight,【库内】商品尺重测量辨识,instock
20250407044,仓库已完成 需补收费用,other
20250530002,清除标签,other
20250714002,【退货】退货超期销毁货物找回,other
20250723,【尾程】Anker Crowfoots出库,other
20251031002,测试标签打印效果,other
202512301,【尾程】winit线下尾程询价,other
20260715,【头程】Winit海外揽收服务,other
20250407013,【出库】指定位置贴商品/包裹标签/快递面单,outbound
20250407015,【出库】补增值后补包裹/托盘级标签,outbound
20250407018,【出库】自提单组套转第三方仓,outbound
20250407033,【出库】自提单重新测量包裹尺重,outbound
20250407040,【出库】采集SN打印Packinglist,outbound
20250407042,【出库】暂存完成订单补拍包裹内商品标签照片,outbound
20250407049,【出库】单品拆分补贴第三方商品标签,outbound
20250408001,【出库】重新打托（塑料托盘）,outbound
20250414001,【出库】补增值后补订单级标签,outbound
20250421002,【出库】仓库自主交货,outbound
20250429001,【出库】指定单品出库,outbound
202505091,【出库】无需暂存单补贴标签,outbound
20250516,【出库】补贴/更换商品标签,outbound
20250714,【出库】指定托盘贴托盘标签,outbound
202507141,【出库】采集SN码,outbound
20250717,【出库】指定原箱出库,outbound
20250818,【出库】清除配件,outbound
20250819,【出库】交货时拍照,outbound
202509031,【出库】瑞美雅发特殊组套+包装,outbound
20250917,【出库】拍标签照片,outbound
20251009001,【出库】开箱抽查箱内第三方商品条码,outbound
20251128002,【出库】出库剪标,outbound
20251230,【出库】视频抽查出库数量,outbound
20260106001,【出库】3PL订单拦截换笼车出库,outbound
20260112,【出库】无法指定装箱，需用客制包材装箱,outbound
20260127,【出库】覆盖指定包裹标签,outbound
20260128001,【出库】补贴包裹/托盘标签,outbound
20260210,【出库】指定方式折叠,outbound
20260210001,【出库】线下打印标签纸使用WINIT线下尾程出库,outbound
20260214,【出库】自提转线下询价,outbound
20260228,【出库】出库单补贴标签重新派送,outbound
20260318,【出库】anker彩盒贴EAN标,outbound
20260402,【出库】部分贴商品级标签,outbound
20260408,【出库】特殊打托需求,outbound
20260630001,【出库】更换出库包材（winit标准包材）,outbound
20260806001,【出库】开箱拍照,outbound
20260818001,【出库】销毁出库,outbound
20260902001,【出库】采集箱唛,outbound
[Delivery] Expedited delivery,【出库】加急出库,outbound
[Outbound] Repackaging by self-pickup order,【出库】暂存单重新装箱,outbound
【Delivery】Delivery and packaging removal,【出库】出库清除包装,outbound
【Outbound】Customs clearance agent,【出库】代理清关,outbound
